ts_code,name
159941.SZ,纳指
513500.SH,标普500
513400.SH,道琼斯
159509.SZ,纳指科技
159529.SZ,标普消费
513290.SH,纳指生物科技
164824.SZ,印度
513730.SH,东南亚科技
513520.SH,日经
513030.SH,德国
513080.SH,法国
513800.SH,东证
159329.SZ,沙特
159687.SZ,亚太精选
513850.SH,美国 50
162415.SZ,美国消费
159502.SZ,标普生物
161128.SZ,标普信息
501225.SH,全球芯片
513310.SH,中韩半导体
159518.SZ,标普油气
501300.SH,美债
518880.SH,黄金
162411.SZ,华宝油气
161226.SZ,白银
159985.SZ,豆粕
501018.SH,原油
159980.SZ,有色
159981.SZ,能源化工
511520.SH,政金债
511090.SH,30年国债
511360.SH,短融
511030.SH,公司
511220.SH,城投
159650.SZ,国开
511020.SH,活跃国债
159593.SZ,中证 A50
560530.SH,中证 A500
513050.SH,中概互联
159920.SZ,恒生
159952.SZ,创业板
588280.SH,科创 50
159922.SZ,中证500
560010.SH,1000
159501.SZ,纳指100
513650.SH,标普500
513880.SH,日经
515180.SH,红利
159545.SZ,红利低波
159593.SZ,中证A50
513130.SH,恒科
