明细,序号,证券代码,证券名称,仓位占比(%),成本价,市价,盈亏比(%),当日盈亏比(%),当日盈亏,股票余额,实际数量,可用余额,冻结数量,盈亏,市值,当日买入,当日卖出,交易市场,checksum1,checksum2,持股天数
,1,504,南华生物,2.91,9.581,9.46,-1.26,-1.25,-156,0,1300,0,0,-157.25,12298,1300,0,深Ａ,T50G,wJsCMJ8p0,--
,2,517,荣安地产,1.9,2.46,2.44,-0.82,0.41,33,3300,3300,3300,0,-66.81,8052,0,0,深Ａ,8HWc,5ky7ZT52B,2
,3,1234,泰慕士,2.93,16.257,17.72,9,1.9,231,700,700,700,0,1024.37,12404,0,0,深Ａ,7AAe,9llKs66Ik,23
,6,1260,坤泰股份,3.06,11.887,16.16,35.95,1.64,208,800,800,800,0,3418.3,12928,0,0,深Ａ,r3D5,6mpV69clv,50
,39,001299,美能能源
,7,1366,播恩集团,3.02,11.641,11.61,-0.27,-0.26,-33,0,1100,0,0,-34.28,12771,1100,0,深Ａ,684Z,0XGK8o5s6,--
,8,2191,劲嘉股份,1.94,4.58,4.56,-0.45,-1.72,-144,1800,1800,1800,0,-36.82,8208,0,0,深Ａ,zN6v,h57cfcWkv,2
,88,002233,塔牌集团
,9,2394,联发股份,2.01,7.681,7.72,0.51,0.65,55,1100,1100,1100,0,43.16,8492,0,0,深Ａ,AESX,R5Kl788db,2
,39,002508,老板电器
,10,2546,新联电子,2.9,4.23,4.23,-0.01,0.48,58,2900,2900,2900,0,-1.23,12267,0,0,深Ａ,s279,8x9n7c9C4,4
,12,159869,游戏ETF,2.81,1.064,1.06,-0.38,3.21,369.6,11200,11200,11200,0,-45.13,11872,0,0,深Ａ,ojK8,RF4jJzjJZ,16
,14,301107,瑜欣电子,3.41,28.843,28.85,0.03,1.12,160,500,500,500,0,3.56,14425,0,0,深Ａ,l9o7,Oq6pNWi5n,7
,15,301212,联盛化学,3.07,26.353,25.95,-1.53,-1.52,-200,0,500,0,0,-201.32,12975,500,0,深Ａ,I1l7,Q03Fk1K9a,--
,20,515790,光伏ETF,2.02,0.894,0.847,-5.24,-1.17,-101,10100,10100,10100,0,-473.16,8554.7,0,0,沪Ａ,9myy,07xynR749,15
,21,516160,新能源,2.08,2.062,2.202,6.77,-0.63,-56,4000,4000,4000,0,558.39,8808,0,0,沪Ａ,cvlI,hah2l0TSj,16
,22,560010,1000基金,2.56,2.504,2.522,0.7,1.29,137.6,4300,4300,4300,0,75.75,10844.6,0,0,沪Ａ,pCi1,2n2hD4D0k,16
,23,562800,稀有金属,2.01,0.562,0.556,-1.12,-0.18,-15.3,15300,15300,15300,0,-96.51,8506.8,0,0,沪Ａ,4z99,12wlD5492,10
,24,588290,芯片科创,2.66,1.501,1.405,-6.4,-1.06,-120,8000,8000,8000,0,-768.72,11240,0,0,沪Ａ,fx52,88x69M842,5
,26,600016,民生银行,1.92,4.09,4.05,-0.99,-2.64,-220,2000,2000,2000,0,-80.9,8100,0,0,沪Ａ,9n1h,oB3p85xhz,2
,36,600036,招商银行
,27,600064,南京高科,3.58,7.632,7.98,4.56,-0.62,-95,1900,1900,1900,0,661.09,15162,0,0,沪Ａ,DlBS,Pc7XM8g65,18
,28,600096,云天化,2.15,22.092,22.69,2.71,1.89,168,400,400,400,0,239.03,9076,0,0,沪Ａ,Pq5K,F0lN3OFcC,2
,29,600153,建发股份,1.84,9.991,9.74,-2.51,-1.32,-104,800,800,800,0,-200.88,7792,0,0,沪Ａ,6d1S,J4u42CQgV,2
,2999,600162,香江控股
,30,600894,广日股份,3.64,12.505,12.83,2.6,-0.93,-144,1200,1200,1200,0,390.13,15396,0,0,沪Ａ,0Ib8,FolbRm6d0,11
,31,601068,中铝国际,2.01,5.401,5.41,0.19,0.19,19,1100,1100,1100,0,1.1,5951,0,0,沪Ａ,7K5i,9J9J9J9J9,2
,32,601666,平煤股份,1.94,10.131,10.23,0.98,0,0,800,800,800,0,79.11,8184,0,0,沪Ａ,Uy1T,FVk9VEZ37,2
,322,603056,德邦股份
,40,603172,万丰
,33,603280,南方路机,3.08,21.302,21.72,1.96,4.07,510,600,600,600,0,250.59,13032,0,0,沪Ａ,wGKl,k073333j2,9
,34,603588,高能环境,1.95,5.401,5.51,2.03,0.73,60,1500,1500,1500,0,164.11,8265,0,0,沪Ａ,P8A4,3Q8JwXm89,2
,36,688530,欧莱新材,3.07,21.672,21.67,-0.01,0,0,0,600,0,0,-1.43,13002,600,0,沪Ａ,6Kpi,N7omm48aT,--
,37,688638,誉辰智能,3.07,30.076,30.16,0.28,0.29,37.58,0,431,0,0,36.15,12998.96,431,0,沪Ａ,zDiN,XG42722if,1
,38,688695,中创股份,3.03,34.914,34.46,-1.3,-1.29,-167.4,0,372,0,0,-168.83,12819.12,372,0,沪Ａ,7ib5,XGg7s124A,--
